2022-03-13T23:04:43.193027900+08:00 - WinTun: Failed to find matching adapter name: 找不到元素。 (Code 0x00000490)
2022-03-13T23:04:48.457029200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.457309300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.457494200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.457664+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.457815300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.457964700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.458113100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.459837800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.459985600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460098100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460206800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460314200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460421300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460530200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460638300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460745200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460852800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.460958+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461084600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461192400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461298700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461403800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461509300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461652300+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:04:48.461767800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.461874900+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:04:48.461982+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:48.462087200+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:04:48.462195700+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
